city_name,charger_count,avg_lat,avg_lon
Delhi,82,28.630619927195124,77.17943408841464
Chennai,78,13.014505872118836,80.20560345335608
New Delhi,73,28.786623734794517,77.11266618068493
Mumbai,71,19.10516934030004,72.8827980230017
Hyderabad,63,17.445608383160344,78.43460739499938
Pune,53,18.548439981425837,73.8255093580671
Bangalore,48,15.6793559725,74.92723385791668
Bengaluru,47,13.636073834990706,77.47315673882822
Ahmedabad,37,23.047198231081083,72.55052202756757
Noida,28,28.564807465357145,77.36793227142857
Jaipur,28,26.90857720181492,75.79520804491203
Gurgaon,26,28.43194795076923,77.05690425961538
Nashik,25,19.939188460093085,73.98402107764967
Kochi,25,9.987987377113551,76.31329442663818
Gurugram,22,28.497345900000003,77.04476111818181
Kolkata,20,22.5736743395,88.424195777
Bhubaneswar,18,20.28260872222222,85.91954651111111
Banglore,18,12.975839920555556,77.57991168555556
Coimbatore,17,11.023593188077587,76.99884950189906
Ghaziabad,15,28.67382067421024,77.48700223579026
Goa,14,15.473970711746277,73.83843447820618
Indore,13,22.645006152307694,75.44686948461539
Raipur,13,21.232098824615385,81.67279812384616
Lucknow,11,26.862143469090906,80.97292128363637
Guwahati,11,26.14433207,91.74660983
Haridwar,10,29.944930890000002,78.11250206999999
Jamshedpur,10,22.801796709999998,86.187774012
Visakhapatnam,10,17.67779446027437,83.1621653155344
Madurai,10,9.9636099306,78.17201522799999
Thiruvanthapuram,10,9.4944205818,76.505625245
Dehradun,10,35.09400595,66.27059775000001
Tirupati,9,13.553747206666666,79.45703945555556
Calicut,9,11.270371755555555,75.81247275555556
Siliguri,9,26.738314,88.41056786666667
Thiruvananthapuram,9,9.608822078444444,76.45927419777779
Nagpur,9,21.114791710490756,79.06046710009885
Vadodara,9,22.328567333333336,73.16950197777777
Muzaffarnagar,8,29.4047396375,77.7206374625
Surat,8,21.174583690768888,72.80198754503515
Trivandrum,8,8.506937521158502,76.93547435675936
Navi Mumbai,8,19.031959652857143,73.06370719285715
Aurangabad,7,19.898037804427,75.30490441095522
Villupuram,7,12.168042134285713,79.61498068142858
Malappuram,7,10.8738234936633,76.09052075430772
Hubli,6,15.365018833333332,75.12240398333334
Vijayawada,6,16.529388383333334,80.62589555
Krishnagiri,6,12.551750146666668,78.19871674666666
Kurnool,6,15.7524485,77.98650983333333
Kolhapur,6,16.702300597351684,74.25339626843841
Vizag,6,17.713967663333335,83.28357795
Tiruchirappalli,6,10.813799750000001,78.69747338333333
Mahabaleshwar,6,17.926253153333334,73.68241714666667
Rajkot,5,22.24893216,70.78883704
Mahabalipuram,5,12.625215292,80.19485664800001
Thane,5,17.968992399999998,73.3249332
Karnal,5,29.708172400000002,76.9769044
Faridabad,5,28.341948459999998,77.30340344
Kannur,5,11.869449517507979,75.40836983317772
Sangli,4,23.475187147499998,74.8478388525
Chengalpattu,4,12.608605,79.92453
Agra,4,27.2084243325,77.986491495
Mysuru,4,12.30421535,76.644953475
Mysore,4,12.3165975,76.626346
Mohali,4,30.684809925000003,76.72249305
Mangalore,4,12.89926602,74.84045833
Secunderabad,4,17.481606,78.51266115
Bhopal,4,23.2223822,77.4493971
Trichy,4,11.01855,78.798385
Chandigarh,4,30.70579365,76.80386332500001
Chittoor,4,13.288856204999998,79.016834365
Ranchi,4,23.371523500000002,85.338425
Kozhikode,4,11.2490586,75.8237721
Ajmer,4,26.45304315,74.650606575
Ahmednagar,4,19.12478632,74.70160362
Palakkad,4,10.828193138168174,76.41934082931976
Suryapet,3,17.171986266666668,79.4380466
Bardhaman,3,23.533890633333332,87.30848506666666
Ujjain,3,23.219815333333333,75.78227226
Vellore,3,12.9166984,79.02279896
Cuttack,3,20.446552,85.90293366666667
Gajraula,3,29.422666666666668,77.15583333333332
Rajahmundry,3,16.9891896,81.78173249999999
Panchkula,3,30.720162243333334,76.84118783999999
Jammu,3,32.70868823333333,74.8782413
Angul,3,20.832124466666667,85.24052633333334
Sajgaon,3,18.793448666666666,73.29722566666668
Satara,3,17.95466254333333,73.99726391333333
Digha,3,21.624052666666667,87.52204566666667
Shirdi,3,19.763090133333332,74.47573946666667
Shahpura,3,27.489974933333333,76.0527718
Udaipur,3,24.57681033333333,73.72216066666667
Belgaum,3,15.8357022,74.49180393333334
Kosi Kalan,3,27.832691333333333,77.41899
Kollam,3,8.888691086650914,76.6111696414101
Thrissur,3,10.565927413333334,76.14966574666666
Nagaon,3,23.747687666666668,86.0602576
Yediyur,3,12.9893833,76.87928006666668
Rasipuram,2,11.4922712,78.1535774
Dausa,2,26.912864,76.466964
Darjeeling,2,26.7006026,88.3293524
Dindigul,2,10.3811273,77.99681425
Rupnarayanpur,2,22.380721,87.365968
Coochbehar,2,26.323416,89.484913
Salem,2,11.682985,78.1260402
Dhanbad,2,23.848551,86.441642
Davangere,2,14.441957,75.95206
Shoolagiri,2,12.6462747,78.0470111
Shahjahanpur,2,28.0088483,76.4639783
Thindivanam,2,12.297694,79.73365
Behror,2,27.8662565,76.2700232
Vadippatti,2,,77.9776792
Bokaro,2,23.66473,86.073024
Avinashi,2,11.175093,77.263374
Ayodhya,2,26.755089,82.141261
Balasore,2,21.497869,86.88961
Vapi,2,20.39716311,72.9164715
Ulundurpet,2,11.7194357,79.3364597
Chittorgarh,2,24.8276645,74.6272935
Sayri,2,27.1590851,75.9603844
Sankagiri,2,11.519342,77.935042
Changodar,2,22.9378139,72.455668
Chengampalli,2,11.213022,77.441968
Changanassery,2,9.4551752,76.5425594
Butibori,2,20.92258656,78.99986387
Chikmagalur,2,13.3366283,75.8178783
Tumakuru,2,13.344796,77.080192
Bareilly,2,28.382522,79.3860412
Amboli,2,21.30157137,72.95378153
Beesalpur,2,25.936068,75.458672
Uruli Kanchan,2,18.487405,74.146125
Bhuj,2,23.2655334,69.6786728
Bilaspur,2,22.0136612,82.0487988
Bhagalpur,2,25.2522094,87.0450289
Bharuch,2,21.7164114,72.6562979
Bhilai,2,21.2165392,81.401487
Bhimavaram,2,16.5451748,81.5199403
Sirohi,2,24.973775,72.895964
Berhampur,2,19.298988,84.831762
Gadanki,2,13.4799438,79.1897903
Ganaur,2,29.157569,77.035833
Omalur,2,11.7592238,78.4273441
Ongole,2,15.6382976,80.0167529
Ooty,2,11.3829987,76.7507875
Palani,2,10.4425816,77.5203903
Kasauli,2,30.879,76.9948
Kasargod,2,12.51382323,75.02713173
Kevadia,2,21.885704,73.688136
Keonjhar,2,20.9187324,86.2169827
Kisangarh,2,31.431348,75.620357
Panchgani,2,17.9335258,73.8158574
Khatauli,2,29.3105,77.7218
Khursipar,2,21.206036,81.3418606
Patna,2,25.634199,85105514.0
Perunnermangalam,2,9.63628,76.3352
Perambalur,2,11.2064644,78.8812406
Patparkang,2,28.62145,77.293556
Kamod,2,22.9247437,72.5434955
Karad,2,17.28566685,74.17330430999999
Kalinganagar,2,20.964722265,86.00852649999999
Proddatur,2,14.7529922,78.5550768
Jajpur,2,20.9238315,86.2494284
Jeypore,2,18.8580983,82.5899867
Junagadh,2,21.52840996,70.45845795
Jorhat,2,26.7470487,94.1680718
Karimnagar,2,18.417928,79.13639
Kallakurichi,2,11.71881,79.33575
Erode,2,11.30199446,77.60004376
Hisar,2,29.1259617,75.8027817
Hassan,2,12.99125845,76.14278703
Hiriyur,2,13.9241147,76.6400077
Guruvayur,2,10.5955128,76.0443322
Karjan,2,22.024178835,73.117516385
Jagdalpur,2,19.0657802,81.9635956
Gorakhpur,2,26.743642,84.263369
Gujarat,2,21.62925,72.36185
Greater Noida,2,28.48275,77.4593
Gangtok,2,27.305524,88.585965
Gaya,2,24.525355,84.932182
Hyderbad,2,17.412399999999998,78.46005
Howrah,2,22.614383,88.273187
Kuttikkanam,2,9.5802797,76.9701859
Namakkal,2,11.19362344,78.10483415
Lonavala,2,18.778022055,73.36187266
Ludhiana,2,30.90350515,75.88163750000001
Madgulapally,2,16.991031,79.44047
Maharashtra,2,19.9519,73.7541
Navsari,2,20.944586795,72.962822
Kodaikanal,2,10.2428087,77.4983634
Naamavaram,2,17.3736805,82.5862594
Latur,2,18.4159831,76.5356299
Ambur,2,12.77988445,78.71776971
Amritsar,2,31.62268845,74.8848595
Angamali,2,10.2230435,76.3755255
Attur,2,11.591985,78.627219
Mettupalayam,2,11.325849999999999,76.90950000000001
Meerut,2,28.97189015,77.69059275
Munnar,2,10.0297934,77.0458592
Moradabad,2,28.828917,78.7328429
Anantapur,2,15.1462972,77.3774561
Anantapuram,2,15.02395,77.620628
Trichur,2,10.569187363603,76.11444951763116
Walayar,2,10.8559461,76.8625309
Thirumangalam,2,9.7590386,77.9791582
Aluva,2,10.0999671,76.3476841
Alappuzha,1,9.5188743,76.3274171
Aligarh,1,28.0236646,77.9738421
Tirupathi,1,13.6253731,79.4322333
Tirur,1,10.9235812,75.9131205
Tiruvannamalai,1,12.23639376,79.08960088
Amravati,1,20.909443,77.7522447
Ananthapur,1,14.65,77.58
Metikuppe,1,11.9377,76.2655
Mira Bhayandar,1,19.2747,72.8856
Mudagere,1,12.6395692,77.1413769
Mudbidri,1,13.074,75.0025
Lonavla,1,18.763,73.4252
Mahad,1,18.0855,73.4309
Mainpuri,1,26.968708,79.019513
Manipal,1,13.3334,74.7884
Marunji,1,18.5808,73.7399
Kodikonda,1,13.83,77.74
Komirepalle,1,16.778579,81.221054
Kottayam,1,9.5447482,76.877561
Kotwan,1,27.8468,77.4082
Kukas,1,27.0307,75.8899
Kundapura,1,13.6186,74.6919
Nainital,1,29.458587,79.145012
Natt,1,30.8219,75.8668
Nemom,1,8.453971667,77.00415034
Palem,1,16.42,77.94
Pallikonda,1,12.9071309,78.9620183
Karkala,1,13.2244,74.9802
Karur,1,10.9577783,78.0605855
Kasara,1,19.62751783,73.44803503
Katra,1,32.9899,74.9255
Kaup,1,13.2338,74.7471
Khalumbre,1,,
Khopoli,1,18.7876,73.3475
Kizhakkummuri,1,10.245487,76.369589
Palyampudur,1,12.0243727,78.0979115
Panchgaon,1,28.323394,76.901196
Panvel,1,18.98164,73.11555
Pathanamthitta,1,9.2744022,76.7637408
Peddapuram,1,17.0758862,82.1217314
Pimpri-Chinchwad,1,18.5948,73.7975
Pondicherry,1,12.06587465,79.88027083
Port Blair,1,11.630305,92.724835
Puducherry,1,11.8945141,79.8026819
Jodhpur,1,26.20977,73.0650083
Kanpur,1,26.482346,80.329394
Karadagodu,1,13.1459,75.6419
Hatna,1,12.9770904,76.8311918
Hosur,1,12.7170751,77.876026
Durgapur,1,23.498815,87.377675
Electronic City,1,12.865032,77.657853
Ernakulam,1,10.01921939,76.30459452
Purnea,1,25.7952561,87.5593019
Pushkar,1,26.4547,74.5046
Ramnagar,1,29.313755,79.1950917
Rudrapur,1,29.006961,79.401351
Saharanpur,1,29.977,77.5753
Salasar,1,27.7363007,74.7426386
Sambalpur,1,21.498344,83.956558
Chouk,1,18.90173,73.23436
Dahanu,1,19.9883,72.7488
Darbaripur,1,28.3861,77.0063
Dhule,1,20.8292,74.7485
Dindori,1,20.1704,73.8273
Bramavara,1,13.4381,74.7433
Buldhana,1,,
Chakan,1,18.77893,73.87099
Chidambaram,1,11.40802995,79.67390344
Chikkamagaluru,1,13.3319,75.7731
Shabhad,1,30.2059,76.8575
Shela,1,23.0436,72.4825
Shivamogga,1,13.9419,75.5816
Sikar,1,27.3449069,75.6020031
Sirsa,1,29.528,75.1325
Bellary,1,15.18446555,76.66276174
Bhadalwadi,1,18.3289,74.7794
Bhilwara,1,25.38240223,74.61958377
Bhimtal,1,29.3237,79.5921
Bhuvanagiri,1,17.522471,78.924306
Tumkur,1,13.2852419,77.1829955
Barog,1,30.8873188,77.0879411
Basavakalyan,1,17.8218258,76.9393922
Bayamari,1,22.4380501,88.763395
Bayarmari,1,22.4380501,88.763395
Beawar Khas,1,26.125,74.3459
Belgavi,1,15.87491249,74.51340824
Surathkal,1,12.9875,74.8048
Talegaon Dabhade,1,18.7005,73.6933
Alwar,1,28.1967,76.8128
Una,1,31.4668,76.2568
"Vandalur, Chennai",1,12.8735113,80.0785537
Vasai-Virar,1,19.3593,72.8123
Agartala,1,23.8620683,91.2822391
Adoor,1,9.1621728,76.7219365
Adilabad,1,19.6560251,78.52951
Yelur,1,16.956461,74.275721
Baramati,1,18.206925,74.6085667
"Amravati, Mh",1,20.909443,77.7522447
